Film name,Year,Language,Genre,Main actors
Lucifer,2019,Malayalam,Action,"Mohanlal,Prithviraj,Tovino"
Mayavi,2006,Malayalam,"Comedy,Thriller","Mammootty,Salim Kumar"
Inception,2003,English,"Thriller,Mystery",Leonardo Dicaprio
Interstellar,2010,English,"Thriller,Mystery","Matthew McConaughey,Anne Hatheway"
Trance,2020,Malayalam,"Drama,Thriller","Fahad Fazil,Soubin Shahir"
Chotta Mumbai,2006,Malayalam,"Comedy,Drama","Mohanlal,Bhavana"
Rajamanikyam,2007,Malayalam,"Comedy,Drama","Mammootty,Rahman"
Varathan,2015,Malayalam,"Action,Thriller","Fahad Fazil,Aiswarya Lakshmi"
Njan Prakashan,2018,Malayalam,Comedy,"Fahad Fazil,Srinivaasan"
Rajavinte Makan,1986,Malayalam,Thriller,"Mohanlal,Ambika"
